penalty,support,status,norm,prime,valuation,gcd_degree
3,1:1;1:4;1:24,obstructed,24218542873162667969745976165223915537381,3070073,1,1
3,1:1;1:4;1:25,obstructed,24216094451206665100308485825558709449987,937,1,1
3,1:1;1:4;1:26,obstructed,24213373275310998610641507483047749440469,401,1,1
3,1:1;1:4;1:27,survivor,24212438036475502598157601688937224899241,,,
3,1:1;1:4;1:28,obstructed,24212664779316399902691313424566527251269,5204516851,1,1
3,1:1;1:4;1:29,obstructed,24221081772096900962033086956561939374741,401,1,1
3,1:1;1:4;1:30,obstructed,24220319530133909245450815750726829967651,249436878420629,1,1
3,1:1;1:4;1:31,survivor,24149402943338172180556652063602008365407,,,
3,1:1;1:4;1:32,survivor,24152021384156807556667008187432068966719,,,
3,1:1;1:5;1:6,obstructed,24925662101586134888550115214271168805619,24923,1,1
3,1:1;1:5;1:7,obstructed,24146194185879310174478832880310417659069,937,1,1
3,1:1;1:5;1:8,survivor,24224092885241986193188826883279264457183,,,
3,1:1;1:5;1:9,survivor,24147362638581045513095471608942022635163,,,
3,1:1;1:5;1:11,survivor,24147779601722609270541764195232968510369,,,
3,1:1;1:5;1:12,obstructed,24219739290990336888178419405548034200291,3617,1,1
3,1:1;1:5;1:13,obstructed,24210322205723665035198694633317648177641,40997969,1,1
3,1:1;1:5;1:14,survivor,24217238247518146529068640552890457755981,,,
3,1:1;1:5;1:16,obstructed,24217193173594488460033585427225018738123,401,1,1
3,1:1;1:5;1:19,survivor,24214242175564125553580517393641444780071,,,
3,1:1;1:5;1:21,obstructed,24216744413609989149944287517724915461227,2033056367089934171,1,1
3,1:1;1:5;1:23,obstructed,24214731523198275706450047309409656317749,1701397,1,1
3,1:1;1:5;1:25,obstructed,24212160486496187633365977488777051094883,2385601,1,1
3,1:1;1:5;1:26,obstructed,24213849455376710001857554093340103784199,27215533,1,1
3,1:1;1:5;1:28,obstructed,24219662092071567556071489327210063539279,1607,1,1
3,1:1;1:5;1:29,survivor,24219739088602133933448039159055398813181,,,
3,1:1;1:5;1:30,survivor,24219786747187099644135022288218295050899,,,
